Code ISIN;Catégorie Morningstar;Libellé du fonds;Société de gestion;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %;Page
LU0336083497;OBLIGATIONS MONDE;Carmignac Portfolio - Global Bond A EUR Acc;Carmignac Gestion Luxembourg;2;1,2;0,5;1,7;26
LU1623762843;OBLIGATIONS D'ENTREPRISE EUR;Carmignac Portfolio - Credit A EUR Acc;Carmignac Gestion Luxembourg;2;1,2;0,5;1,7;26
LU1100077442;ALLOCATION D'ACTIFS EUR PRUDENTE;Clartan Patrimoine C;Clartan Associés;2;1,14;0,5;1,64;26
FR0013439403;REVENUS FIXES EUR;La Française Rendement Global 2028 RC EUR;Crédit Mutuel Asset Management;2;1,17;0,5;1,67;26
FR0010986315;ALLOCATION D'ACTIFS EUR PRUDENTE;DNCA Sérénité Plus - part C;DNCA Finance;2;0,72;0,5;1,22;26
LU1694789451;OBLIGATIONS INTERNATIONALES FLEXIBLES;DNCA Invest Alpha Bonds A EUR;DNCA Finance;2;1,3;0,5;1,8;26
FR0010172767;OBLIGATIONS D'ENTREPRISE EUR;EdR SICAV - Euro Sustainable Credit A EUR;Edmond de Rothschild Asset Management (France);2;1,01;0,5;1,51;26
FR001400S680;REVENUS FIXES EUR;EdR SICAV Millesima 2030 A;Edmond de Rothschild Asset Management (France);2;1,1;0,5;1,6;26
LU1161527038;OBLIGATIONS INTERNATIONALES FLEXIBLES;Edmond de Rothschild Fund - Bond Allocation A EUR Acc;Edmond de Rothschild Asset Management (Luxembourg);2;1,17;0,5;1,67;26
LU1897613763;OBLIGATIONS EMERGENTES EN DEVISES FORTES;Edmond de Rothschild Fund - Emerging Sovereign A EUR H;Edmond de Rothschild Asset Management (Luxembourg);3;1,32;0,5;1,82;26
LU0251130802;OBLIGATIONS EURO HAUT RENDEMENT;Fidelity Funds - European High Yld A- Acc-EUR;FIL Investment Management (Luxembourg) S.A.;2;1,4;0,5;1,9;26
FR0011147594;OBLIGATIONS EURO FLEXIBLES;Omnibond R;FLORNOY;2;1,11;0,5;1,61;26
LU0260870661;OBLIGATIONS MONDE;Templeton Global Total Return Fund A(acc)EUR;Franklin Templeton International Services S.à r.l.;3;1,36;0,5;1,86;26
FR0000971293;OBLIGATIONS D'ETAT EUR;HSBC Euro Gvt Bond Fund HC;HSBC Global Asset Management (France);3;0,45;0,5;0,95;26
LU0165128348;OBLIGATIONS EURO HAUT RENDEMENT;HSBC Global Investment Funds - Euro High Yield Bond AC;HSBC Investment Funds (Luxembourg) S.A.;3;1,35;0,5;1,85;26
LU1165644672;OBLIGATIONS EMERGENTES EN DEVISES FORTES;IVO Funds - IVO Emerging Markets Corporate Debt EUR R Acc;IVO Capital Partners;3;1,68;0,5;2,18;27
