Code ISIN;Libellé du fonds;Société de gestion;Catégorie Morningstar;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %
LU0390221256;MainFirst Germany Fund A;ETHENEA Independent Investors S.A.;ACTIONS EUROPE HORS UK GDES CAP.;4;1,80%;0,60%;2,40%
LU0391944815;Pictet-Global Megatrend Selection R EUR;Pictet Asset Management (Europe) SA;ACTIONS THEMATIQUES;4;2,90%;0,60%;3,50%
LU0441852612;JPMorgan Funds - ASEAN Equity Fund A (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,50%;0,60%;2,10%
LU0445386369;Nordea 1 - Alpha 10 MA Fund BP EUR;Nordea Investment Funds SA;PERFORMANCE ABSOLUE INTERNATIONALE;4;1,70%;0,60%;2,30%
LU0489687243;Mandarine Funds - Mandarine Unique Small & Mid Caps Europe R;Mandarine Gestion;ACTIONS EUROPE MOYENNES CAP.;4;1,95%;0,60%;2,55%
LU0496786574;Amundi S&P 500 UCITS ETF - D-EUR;Amundi Luxembourg S.A.;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;0,09%;0,60%;0,69%
LU0496786905;Amundi Australia (S&P/ASX 200) UCITS ETF - D-EUR;Amundi Luxembourg S.A.;ACTIONS AUSTRALIE & NOUVELLE-ZÉLANDE;5;0,40%;0,60%;1,00%
LU0503631714;Pictet - Global Environmental Opportunities P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR ENVIRONNEMENT;4;2,40%;0,60%;3,00%
LU0503932328;Janus Henderson Horizon Pan European Mid and Large Cap Fund A2 EUR;Janus Henderson Investors;ACTIONS EUROPE GDES CAP. MIXTE;4;1,20%;0,60%;1,80%
LU0533032859;Amundi MSCI World Financials UCITS ETF EUR Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR FINANCIER;5;0,30%;0,60%;0,90%
LU0533033238;Amundi MSCI World Health Care UCITS ETF EUR Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR SANTE;4;0,30%;0,60%;0,90%
LU0533033667;Amundi MSCI World Information Technology UCITS ETF EUR Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR TECHNOLOGIES;5;0,30%;0,60%;0,90%
LU0568583933;Amundi Funds - Equity Japan Target A EUR Hgd (C);Amundi Luxembourg S.A.;ACTIONS JAPON;4;1,80%;0,60%;2,40%
LU0659579733;Xtrackers - Xtrackers MSCI World Swap UCITS ETF 4C - EUR Hedged;DWS Investment S.A. (ETF);ACTIONS MONDE GDES CAP.;4;0,24%;0,60%;0,84%
LU0675297237;Groupama Avenir Europe NC;Groupama Asset Management;ACTIONS EUROPE MOYENNES CAP.;5;1,80%;0,60%;2,40%
